"filename", "language", "pip requirements", "Python", "Properties", "JSON", "comment", "blank", "total"
"/Users/azarak/projects/intermediatepython/.env", "Properties", 0, 0, 1, 0, 0, 3, 4
"/Users/azarak/projects/intermediatepython/app/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediatepython/app/main.py", "Python", 0, 14, 0, 0, 1, 10, 25
"/Users/azarak/projects/intermediatepython/app/models/__init__.py", "Python", 0, 4, 0, 0, 2, 2, 8
"/Users/azarak/projects/intermediatepython/app/models/db.py", "Python", 0, 12, 0, 0, 0, 6, 18
"/Users/azarak/projects/intermediatepython/app/models/habit.py", "Python", 0, 55, 0, 0, 0, 10, 65
"/Users/azarak/projects/intermediatepython/app/models/habit_completion.py", "Python", 0, 13, 0, 0, 0, 6, 19
"/Users/azarak/projects/intermediatepython/app/models/habit_db.py", "Python", 0, 15, 0, 0, 1, 6, 22
"/Users/azarak/projects/intermediatepython/app/models/schemas.py", "Python", 0, 14, 0, 0, 0, 7, 21
"/Users/azarak/projects/intermediatepython/app/routes/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediatepython/app/routes/habits.py", "Python", 0, 11, 0, 0, 0, 6, 17
"/Users/azarak/projects/intermediatepython/app/services/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediatepython/app/services/habit_manager.py", "Python", 0, 45, 0, 0, 0, 13, 58
"/Users/azarak/projects/intermediatepython/app/services/habit_service.py", "Python", 0, 15, 0, 0, 0, 5, 20
"/Users/azarak/projects/intermediatepython/cli_legacy.py", "Python", 0, 57, 0, 0, 1, 12, 70
"/Users/azarak/projects/intermediatepython/config.py", "Python", 0, 1, 0, 0, 0, 1, 2
"/Users/azarak/projects/intermediatepython/habits.json", "JSON", 0, 0, 0, 16, 0, 0, 16
"/Users/azarak/projects/intermediatepython/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 1, 1
"/Users/azarak/projects/intermediatepython/tests/test_habits.py", "Python", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 0, 256, 1, 16, 5, 92, 370
